physostigmine|physostigmine
acetylcholine|acetylcholine
ciprofloxacin|ciprofloxacin
phenobarbital|phenobarbital
imipramine|imipramine
dihydroergotamine|dihydroergotamine
cocaine|cocaine
betaxolol|betaxolol
donepezil|donepezil
methotrexate|methotrexate
isocarboxazid|isocarboxazid
trazodone|trazodone
phenytoin|phenytoin
diltiazem|diltiazem
methadone|methadone
promethazine|promethazine
isoprenaline|isoprenaline
dobutamine|dobutamine
cimetidine|cimetidine
captopril|captopril
clozapine|clozapine
testosterone|testosterone
galantamine|galantamine
haloperidol|haloperidol
ephedrine|ephedrine
prazosin|prazosin
acetaminophen|acetaminophen
amphotericin b|amphotericin b
pethidine|pethidine
perindopril|perindopril
thioridazine|thioridazine
phenelzine|phenelzine
lindane|lindane
risperidone|risperidone
etoposide|etoposide
mephenytoin|mephenytoin
theophylline|theophylline
itraconazole|itraconazole
piroxicam|piroxicam
epinephrine|epinephrine
indomethacin|indomethacin
propranolol|propranolol
diphenhydramine|diphenhydramine
rivastigmine|rivastigmine
naltrexone|naltrexone
salbutamol|salbutamol
naproxen|naproxen
propofol|propofol
ethosuximide|ethosuximide
ibuprofen|ibuprofen
erythromycin|erythromycin
thiothixene|thiothixene
bosentan|bosentan
glipizide|glipizide
bimatoprost|bimatoprost
isoniazid|isoniazid
naloxone|naloxone
tiagabine|tiagabine
cisplatin|cisplatin
chlorpromazine|chlorpromazine
zalcitabine|zalcitabine
metoprolol|metoprolol
sulindac|sulindac
nefazodone|nefazodone
phenoxybenzamine|phenoxybenzamine
cyclophosphamide|cyclophosphamide
flurbiprofen|flurbiprofen
enalapril|enalapril
gabapentin|gabapentin
sufentanil|sufentanil
ergotamine|ergotamine
diazepam|diazepam
troglitazone|troglitazone
buspirone|buspirone
carbamazepine|carbamazepine
warfarin|warfarin
tranylcypromine|tranylcypromine
fluvoxamine|fluvoxamine
fluoxetine|fluoxetine
vigabatrin|vigabatrin
didanosine|didanosine
salmeterol|salmeterol
paroxetine|paroxetine
terbutaline|terbutaline
mianserin|mianserin
codeine|codeine
ofloxacin|ofloxacin
clonidine|clonidine
diflunisal|diflunisal
tolcapone|tolcapone
phenylephrine|phenylephrine
fentanyl|fentanyl
morphine|morphine
ranitidine|ranitidine
labetalol|labetalol
tolbutamide|tolbutamide
travoprost|travoprost
