hyperkalaemia|hyperkalaemia
vomiting|vomiting
renal failure|renal failure
amnesia|amnesia
neuronal toxicity|neurotoxicity
ataxia|ataxia
liver damage|liver injury
asthenia|asthenia
sultant infertility|infertility
coma|coma
fatigue|fatigue
myelosuppression|myelosuppression
respiratory depression|respiratory depression
hypertension|hypertension
possible nephrotoxicity|nephrotoxicity
myositis|myositis
dependence|dependence
alopecia|alopecia
dyspepsia|dyspepsia
anxiety|anxiety
nasal congestion|nasal congestion
or lightheadedness|lightheadedness
nephrotoxicity|nephrotoxicity
oedema|oedema
headache|headache
hepatotoxicity|hepatotoxicity
excitement|excitement
dizziness|dizziness
abdominal pain|abdominal pain
nervousness|nervousness
liver injury|liver injury
mood changes|mood swings
drowsiness|drowsiness
flushing|flushing
hypoglycaemia|hypoglycaemia
diarrhoea|diarrhoea
tachycardia|tachycardia
extrapyrimidal syndrome|extrapyramidal symptoms
dryness of the mouth|dry mouth
cardiotoxicity|cardiotoxicity
gynaecomastia in men|gynaecomastia
tinnintus|tinnitus
rhabdomyolysis|rhabdomyolysis
constipation|constipation
heavy proteinuria|proteinuria
anaemia|anaemia
acute renal failure|renal failure
nausea|nausea
convulsion|convulsion
haemorrhage|haemorrhage
sleep disturbances and nausea|sleep disturbance
hypertention|hypertension
neutropenia|neutropenia
arrhythmias|arrhythmia,asthma,tachyarrhythmia
pancreatitis|pancreatitis
arthralgia|arthralgia
hirsutism|hirsutism
tremor|tremor
hepatic steatosis|hepatic steatosis
ankle oedema|ankle edema
insomnia|insomnia
bradycardia|bradycardia
sedation|sedation
bone marrow damage|bone marrow depression
memory impairment|memory impairment
sweating|sweating
neurotoxicity|neurotoxicity
hypotension|hypotension
diarrhea|diarrhoea
rashes|rash
vertigo|vertigo
anorexia|anorexia
myopathy|myopathy
cold extremeities|cold symptoms
hypertriglyceridemia|hypertriglyceridaemia
hypovolaemia|hypovolaemia
leukopenia|leukopenia
bronchoconstriction|bronchoconstriction
water retention|water retention
sinus tachycardia|sinus tachycardia
hot flushes|hot flush
muscular weakness|muscular weakness
sexual dysfunction|sexual dysfunction
tardive dyskinesia|tardive dyskinesia
lactic acidosis|lactic acidosis
back pain|back pain
ischemia|ischaemia
cardiac failure|cardiac failure
gastrointestinal disorders|gastrointestinal disorder
